correo,nombre,rol,menor_edad,alias_historico
docente.responsable@salesianos.edu.co,Nombre Del Docente,responsable,no,
estudiante.uno@salesianos.edu.co,Nombre Apellido,integrante,si,alias-1
estudiante.dos@salesianos.edu.co,Nombre Apellido,integrante,si,alias-2
estudiante.tres@salesianos.edu.co,Nombre Apellido,integrante,si,alias-3
estudiante.cuatro@salesianos.edu.co,Nombre Apellido,integrante,si,alias-4
estudiante.cinco@salesianos.edu.co,Nombre Apellido,integrante,si,alias-5
estudiante.seis@salesianos.edu.co,Nombre Apellido,integrante,si,alias-6
estudiante.siete@salesianos.edu.co,Nombre Apellido,integrante,si,alias-7
estudiante.ocho@salesianos.edu.co,Nombre Apellido,integrante,si,
estudiante.nueve@salesianos.edu.co,Nombre Apellido,integrante,si,
